x0000,y0000
2.2288915566,-4.8680639174
2.2328931573,-2.5556323246
2.2368947579,4.3528223243
2.2408963585,11.1647756574
2.2448979592,14.8655112982
2.2488995598,14.7652854217
2.2529011605,10.2100820863
2.2569027611,5.2371044976
2.2609043617,0.1173607872
2.2649059624,2.6165874659
2.2689075630,5.7854560458
2.2729091637,0.6820762040
2.2769107643,-3.6003683212
2.2809123649,1.4208317002
2.2849139656,2.9835711109
2.2889155662,3.7943771765
2.2929171669,7.8741638508
2.2969187675,3.7630087957
2.3009203681,6.8768613143
2.3049219688,3.0904267473
2.3089235694,11.5655974371
2.3129251701,16.2046417671
2.3169267707,14.9247831213
2.3209283713,23.5277475509
2.324929972,23.9359908799
2.3289315726,19.5653135990
2.3329331733,14.0458278571
2.3369347739,19.6078146804
2.3409363745,13.9275035239
2.3449379752,3.0795703212
2.3489395758,3.2101793132
2.3529411765,-0.2845359786
2.3569427771,-1.8507259481
2.3609443778,1.8127885960
2.3649459784,-3.7549800203
2.3689475790,-3.293866886
2.3729491797,4.6319575446
2.3769507803,-5.4969120270
2.380952381,-1.9518247138
2.3849539816,7.0284873434
2.3889555822,7.6354036144
2.3929571829,5.1428349569
2.3969587835,10.5517094797
2.4009603842,15.5694558898
2.4049619848,9.1888000262
2.4089635854,8.0438052743
2.4129651861,10.0196066114
2.4169667867,0.2340855200
2.4209683874,-0.8319375251
2.424969988,-4.6714265938
2.4289715886,-1.1667189832
2.4329731893,-1.6906626323
2.4369747899,-11.8615961646
2.4409763906,-4.9320156009
2.4449779912,4.9989929383
2.4489795918,-7.4964270723
2.4529811925,-6.2759620256
2.4569827931,-4.2055898257
2.4609843938,-1.3271499732
2.4649859944,3.6294390401
2.4689875950,-1.0208679287
2.4729891957,-6.6943376959
2.4769907963,-0.2226131258
2.480992397,7.2279044838
2.4849939976,3.5206102786
2.4889955982,-0.7351480378
2.4929971989,3.9958019272
2.4969987995,1.0548228519
2.5010004002,6.1947398550
2.5050020008,5.1430351220
2.5090036014,-0.6412886315
2.5130052021,-5.1364283300
2.5170068027,-5.0428192014
2.5210084034,-4.8879166998
2.5250100040,-10.221720083
2.5290116046,-10.6805382171
2.5330132053,-2.9639192254
2.5370148059,-3.2598320269
2.5410164066,-9.180276124
2.5450180072,-11.0073091035
2.5490196078,-9.4199025443
2.5530212085,-3.420592204
2.5570228091,-5.4688453516
2.5610244098,-3.2065431103
2.5650260104,-7.8734720527
2.5690276110,-13.59167608
2.5730292117,-8.3061030238
2.5770308123,-12.7811165004
2.581032413,-11.6926410436
2.5850340136,-7.8355207741
2.5890356142,-6.6164944974
2.5930372149,0.2209195052
2.5970388155,-8.9175247664
2.6010404162,-0.0344882802
2.6050420168,-8.0645655543
2.6090436174,-12.9356643232
2.6130452181,-4.7676110506
2.6170468187,-11.1030640128
2.6210484194,-9.3310653451
2.6250500200,3.6434275686
2.6290516206,-1.4474973583
2.6330532213,-8.1687600668
2.6370548219,-14.6451775709
2.6410564226,-8.7009136255
2.6450580232,-3.2923152538
2.6490596238,-4.3810110153
2.6530612245,4.5202396793
2.6570628251,-0.1506749924
2.6610644258,1.8959760003
2.6650660264,0.6802548469
2.6690676271,-1.2935776647
2.6730692277,-8.9644439293
2.6770708283,-9.8871162606
2.681072429,-8.7034881334
2.6850740296,-8.8704062041
2.6890756303,-6.1890355339
2.6930772309,-2.0991475929
2.6970788315,-11.9847211537
2.7010804322,-9.7806807128
2.7050820328,-10.0064906936
2.7090836335,-4.6567722932
2.7130852341,-5.4604673445
2.7170868347,-12.9941349582
2.7210884354,-12.4219333548
2.7250900360,-13.6705516198
2.7290916367,-4.8220365828
2.7330932373,-3.3982654092
2.7370948379,-7.2238643971
2.7410964386,-0.4692728371
2.7450980392,0.2744615129
2.7490996399,-3.5245173326
2.7531012405,-5.8538259763
2.7571028411,-9.8426389895
2.7611044418,-9.8731427257
2.7651060424,-20.4578223463
2.7691076431,-13.8238183003
2.7731092437,-3.2534461428
2.7771108443,-6.2338230995
2.781112445,-6.8896624686
2.7851140456,-14.7223826275
2.7891156463,-18.4395186959
2.7931172469,-11.6447374589
2.7971188475,-10.3134360873
2.8011204482,-6.5935552981
2.8051220488,-8.1337294031
2.8091236495,-8.1311611788
2.8131252501,-1.3205522802
2.8171268507,10.8818629826
2.8211284514,5.7063773155
