EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3938.305,-17164.050,-20894.538,2352.370,5399.305,12939.264,-9982.624,-22056.653,-0.137,0.998,-0.084,-1.587,-1.556,-0.336,66.667,77.000,1.000
-958.718,-13259.166,-19444.694,5286.090,9167.025,16667.729,-8717.426,-22516.331,-0.135,1.000,-0.082,-1.495,-1.770,-0.458,66.667,78.000,1.000
1951.094,-10845.329,-16573.548,8323.229,12640.284,20656.789,-6594.092,-23700.766,-0.135,0.999,-0.084,-1.526,-1.953,-0.519,66.667,79.000,1.000
4931.175,-9250.538,-12796.004,12082.367,15614.134,24805.354,-3526.092,-25190.916,-0.134,0.997,-0.086,-1.465,-2.197,-0.580,66.667,80.000,1.000
7901.713,-6817.462,-9910.677,16042.388,18413.822,28619.940,-778.472,-26097.441,-0.131,0.996,-0.088,-1.343,-2.350,-0.580,66.667,81.000,1.000
10671.026,-3177.731,-8538.452,19274.926,21435.705,31888.022,774.084,-26276.699,-0.131,0.993,-0.085,-1.282,-2.502,-0.641,66.667,82.000,1.000
13201.690,304.756,-7316.418,21711.336,24614.097,34952.821,1815.359,-26494.241,-0.130,0.992,-0.088,-1.099,-2.747,-0.763,66.667,83.000,1.000
15661.783,2442.964,-4798.662,24208.430,27531.129,38233.633,3615.848,-27359.317,-0.129,0.995,-0.092,-0.916,-2.808,-0.824,66.667,84.000,1.000
18189.657,3810.098,-1410.555,27359.903,29991.131,41662.381,6301.189,-28518.114,-0.125,0.995,-0.090,-0.763,-2.838,-0.793,66.667,85.000,1.000
20701.914,5881.676,1189.090,30705.143,32268.715,44794.684,8724.849,-29177.213,-0.125,0.996,-0.089,-0.549,-2.808,-0.854,66.667,86.000,1.000
23011.376,9011.733,2385.383,33391.228,34717.630,47420.453,10057.564,-29188.780,-0.126,0.998,-0.089,-0.305,-2.869,-0.854,66.667,87.000,1.000
25087.514,12021.354,3389.628,35337.289,37298.015,49834.539,10885.032,-29213.706,-0.124,0.999,-0.091,-0.031,-2.869,-0.885,66.667,88.000,1.000
27096.380,13861.973,5533.665,37309.517,39655.482,52421.450,12358.640,-29794.949,-0.122,0.997,-0.091,0.061,-2.808,-0.885,66.667,89.000,1.000
29169.128,15006.314,8479.507,39854.253,41612.236,55141.518,14628.174,-30642.464,-0.121,0.998,-0.092,0.183,-2.716,-0.793,66.667,90.000,1.000
31224.351,16723.110,10753.653,42578.432,43391.749,57607.992,16693.175,-31072.017,-0.123,0.997,-0.094,0.366,-2.747,-0.641,66.667,91.000,1.000
33086.683,19336.452,11774.965,44726.478,45296.859,59621.764,17799.929,-30941.244,-0.122,1.000,-0.095,0.458,-2.625,-0.671,66.667,92.000,1.000
34729.653,21857.657,12581.160,46211.414,47305.284,61425.787,18432.636,-30804.120,-0.123,1.000,-0.095,0.732,-2.472,-0.519,66.667,93.000,1.000
36306.154,23388.059,14352.069,47693.497,49123.498,63357.859,19596.719,-31130.560,-0.125,1.000,-0.094,0.793,-2.472,-0.458,66.667,94.000,1.000
37933.235,24303.514,16829.088,49656.173,50594.614,65399.666,21450.246,-31692.309,-0.128,0.999,-0.094,0.671,-2.441,-0.305,66.667,95.000,1.000
39534.919,25662.477,18747.629,51774.664,51895.659,67226.204,23147.762,-31917.773,-0.127,1.000,-0.101,0.824,-2.502,-0.275,66.667,96.000,1.000
40954.575,27754.897,19581.903,53401.598,53280.296,68658.190,24028.178,-31674.338,-0.130,0.997,-0.099,0.946,-2.533,-0.214,66.667,97.000,1.000
42172.145,29781.318,20194.176,54450.056,54742.005,69890.679,24479.037,-31410.378,-0.133,0.999,-0.096,1.129,-2.625,-0.092,66.667,98.000,1.000
43326.610,30997.709,21597.474,55471.805,56047.021,71212.005,25351.023,-31519.292,-0.134,1.000,-0.096,1.160,-2.747,-0.061,66.667,99.000,1.000
44522.792,31692.502,23604.879,56882.554,57062.153,72620.603,26800.877,-31827.948,-0.131,1.001,-0.095,1.282,-2.808,0.092,66.667,100.000,1.000
45694.881,32719.467,25165.735,58424.439,57922.080,73851.641,28137.254,-31873.581,-0.132,1.004,-0.095,1.160,-2.930,0.122,66.667,101.000,1.000
46707.582,34327.232,25819.656,59561.077,58831.954,74748.309,28798.772,-31536.843,-0.132,1.004,-0.095,1.221,-2.991,0.275,66.667,102.000,1.000
47544.361,35889.549,26258.966,60210.217,59796.884,75461.666,29084.372,-31167.314,-0.131,1.004,-0.098,1.099,-3.143,0.397,66.667,103.000,1.000
48323.715,36808.678,27325.286,60817.605,60637.597,76230.722,29691.264,-31083.325,-0.132,1.005,-0.095,1.038,-3.174,0.610,66.667,104.000,1.000
